Date,Open,High,Low,Close,Adj Close,Volume
2023-06-28,55.889999,56.139999,55.470001,56.009998,55.104092,5320900
2023-06-29,56.180000,56.660000,56.099998,56.290001,55.379566,3465200
2023-06-30,56.599998,56.770000,56.360001,56.560001,55.645199,3012200
2023-07-04,56.869999,56.880001,56.259998,56.750000,55.832123,840800
2023-07-05,56.500000,56.540001,56.090000,56.430000,55.517300,2438800
2023-07-06,56.000000,56.020000,55.509998,55.900002,54.995872,3711800
2023-07-07,55.689999,56.590000,55.669998,55.840000,54.936844,3311300
2023-07-10,55.799999,56.090000,55.529999,55.619999,54.720402,2975200
2023-07-11,55.700001,55.880001,55.410000,55.619999,54.720402,1964300
2023-07-12,56.049999,56.099998,55.430000,55.740002,54.838463,2896200
2023-07-13,55.910000,56.820000,55.880001,56.770000,55.851803,3632400
2023-07-14,57.049999,57.220001,56.540001,56.680000,55.763256,1947700
2023-07-17,56.500000,57.090000,56.450001,57.080002,56.156788,5697700
2023-07-18,57.189999,57.849998,57.189999,57.740002,56.806114,4817700
2023-07-19,57.900002,58.130001,57.619999,57.869999,56.934010,2028700
2023-07-20,57.990002,58.110001,57.669998,57.959999,57.022552,2452700
2023-07-21,58.000000,58.080002,57.709999,57.900002,56.963528,3449000
2023-07-24,57.959999,58.389999,57.709999,58.070000,57.130775,2762400
2023-07-25,58.180000,58.180000,57.240002,57.400002,56.471611,2835600
2023-07-26,57.349998,58.000000,57.250000,57.610001,56.678215,2536400
2023-07-27,57.720001,58.330002,57.349998,57.529999,56.599506,3352300
2023-07-28,57.950001,58.189999,57.639999,57.889999,56.953686,1733000
2023-07-31,57.959999,58.360001,57.919998,58.080002,57.140614,1536900
2023-08-01,57.950001,57.959999,57.000000,57.240002,56.314201,2247500
2023-08-02,56.750000,56.889999,56.139999,56.810001,55.891155,3458200
2023-08-03,56.500000,56.610001,56.060001,56.509998,55.596004,1842000
2023-08-04,56.520000,57.310001,56.450001,56.959999,56.038727,1544800
2023-08-08,56.750000,56.799999,56.209999,56.389999,55.477947,3668300
2023-08-09,56.470001,56.500000,55.779999,55.790001,54.887653,2183400
2023-08-10,55.959999,56.330002,55.759998,56.000000,55.094254,2982300
2023-08-11,55.939999,56.180000,55.799999,56.000000,55.094254,1058000
2023-08-14,55.950001,55.970001,55.430000,55.630001,54.730240,2270900
2023-08-15,55.250000,55.270000,53.840000,54.169998,53.293850,4043200
2023-08-16,54.000000,54.349998,53.830002,54.220001,53.343044,2116900
2023-08-17,54.520000,54.669998,53.869999,53.869999,52.998703,1714400
2023-08-18,53.650002,53.970001,53.509998,53.759998,52.890484,2054000
2023-08-21,53.849998,54.040001,53.290001,53.430000,52.565823,2392200
2023-08-22,53.570000,53.619999,53.009998,53.209999,52.349380,1824200
2023-08-23,53.419998,53.720001,53.209999,53.580002,52.713398,2211400
2023-08-24,53.520000,54.189999,53.520000,53.919998,53.047894,3366600
2023-08-25,54.169998,54.480000,53.400002,53.980000,53.106926,1511900
2023-08-28,54.150002,54.619999,54.090000,54.509998,53.628353,2677000
2023-08-29,54.500000,55.389999,54.459999,55.259998,54.366222,3379000
2023-08-30,55.759998,55.880001,55.270000,55.320000,54.425255,1852900
2023-08-31,53.950001,54.020000,53.240002,53.540001,52.674046,8089400
2023-09-01,53.770000,54.270000,53.660000,54.160000,53.284016,3521400
2023-09-05,54.130001,54.439999,53.990002,54.130001,53.254501,2473700
2023-09-06,53.900002,54.160000,53.500000,53.779999,52.910160,2199600
2023-09-07,53.610001,54.099998,53.490002,53.509998,52.644527,2989000
